"Feature ID","Feature","Module","UI Exists","Backend Model Exists","Backend API/Service Exists","Frontend Calls Backend","Persists to DB","Uses Mock/Static Data","RBAC/Role Scoped","Counts Consistent","Error/Loading States","Status","Priority","Evidence","Notes"
"FEAT-012","Personal Details","HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; HRMS","Personal fields persist and are policy protected."
"FEAT-013","Employment Details","HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; HRMS","Employment fields persist and render."
"FEAT-014","Account & Access","HRMS","Yes","Yes","Partial","Partial","Partial","No","Partial","Unknown","Partial","B","P1","USERS; HRMS","Role/status connected; session/last-active/reset management partial."
"FEAT-015","Payroll & Statutory","HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","DB; HRMS; RBAC","Payroll fields are masked/stripped by backend policy."
"FEAT-016","Documents & Verification","HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","DB; HRMS; FILES","Document list/upload/verify are scoped."
"FEAT-017","HR Notes","HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; HRMS","HR notes persist through protected profile update."
"FEAT-018","Verification Details","HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; HRMS","Verification status/by/date/reason exist and render."
"FEAT-019","Departments List","Departments","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DEPTS","Department cards use backend data."
"FEAT-020","New Department","Departments","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DEPTS","Admin-guarded create persists."
"FEAT-021","Edit Department","Departments","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B","P1","DEPTS","Name/color/description save; true lead relation missing."
"FEAT-022","Delete/Archive Department","Departments","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B","P1","DEPTS","Delete exists; archive state missing."
"FEAT-023","Department Detail","Departments","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","A","P1","DEPTS","Detail loads real members and metrics."
"FEAT-024","Department Lead","Departments","Partial","No","Partial","Partial","Partial","No","Partial","Partial","Yes","B","P1","DB; DEPTS","Lead is inferred from roles/users, not a relation."
"FEAT-025","Add Member to Department","Departments","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","USERS; DEPTS","Member add/remove updates departmentId."
"FEAT-026","Department Metrics","Departments","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B","P1","DEPTS","Real metrics exist but are partly duplicated/derived."
"FEAT-027","Company Directory","Directory","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","USERS; WORKDAY","Directory uses scoped active users and ticket counts."
"FEAT-028","Live Status Directory","Directory","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","WORKDAY","Status uses persisted user/workday state."
"FEAT-029","Teams Model","Teams","No","No","No","No","No","No","No","No","No","F","P2","DB","No separate Team model."
"FEAT-030","Team Members","Teams","Partial","Partial","Partial","Partial","Partial","No","Partial","Partial","Partial","B","P1","DB; USERS; WORKDAY","Team membership is department-based."
"FEAT-031","Workday Start","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; WORKDAY","Start creates/updates WorkSession and event."
"FEAT-032","Workday Active State","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","WORKDAY","Active state comes from workday today API."
"FEAT-033","Break Flow","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; WORKDAY","Break start/end persists BreakLog."
"FEAT-034","Break Types","Workday","Yes","Partial","Partial","Yes","Partial","Yes","Yes","Yes","Yes","B","P2","DB; WORKDAY","Selected type persists; type list is static UI."
"FEAT-035","Resume Work","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","WORKDAY","Resume updates status/session."
"FEAT-036","End Workday","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","WORKDAY","End work persists totals."
"FEAT-037","End Day Summary","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","WORKDAY","Summary is computed from session records."
"FEAT-038","Workday Logs","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; WORKDAY","WorkSession/BreakLog/AttendanceEvent cover logs."
"FEAT-039","Team Workday Visibility","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","WORKDAY","Team endpoint is role scoped."
"FEAT-040","Idle Tracking","Workday","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","A","P2","WORKDAY","Idle report and resume exist."
"FEAT-041","Ticket List Page","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS; TICKET_ACCESS","Paginated scoped ticket list."
"FEAT-042","New Ticket","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS; TASKTYPES","Ticket create persists relations and subtype data."
"FEAT-043","Ticket Search","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS; TICKET_ACCESS","Backend search covers title, ID, description."
"FEAT-044","Ticket Filters","Tickets","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Yes","B","P1","TICKETS; TICKET_ACCESS","Core filters work; URL/full filter set incomplete."
"FEAT-045","Ticket Sorting","Tickets","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B","P2","TICKETS","No complete user-facing sorting controls."
"FEAT-046","Ticket Status Tabs","Tickets","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B","P1","TICKETS","Tab counts are separate from current list filters."
"FEAT-047","Ticket Export","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","TICKETS","Scoped CSV export works."
"FEAT-048","Ticket Detail Page","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKETS; TICKET_ACCESS","Detail enforces accessible ticket lookup."
"FEAT-049","Ticket Comments","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","COMMENTS; TICKET_ACCESS","Comments inherit ticket access."
"FEAT-050","Ticket History","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKETS","History fetch follows ticket access."
"FEAT-051","Ticket Attachments","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Unknown","Yes","B","P0","FILES; TICKETS","Upload/list scoped; direct stored URL download is not protected."
"FEAT-052","Ticket Assignment","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKET_ACCESS; TICKETS","Assignment validates role, ticket, and assignee scope."
"FEAT-053","Ticket Reassignment","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS; EVENTS","Reassignment persists and logs history."
"FEAT-054","Ticket Status Workflow","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKET_ACCESS; TICKETS","Transition matrix is centralized."
"FEAT-055","Ticket Close/Reopen","Tickets","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B","P1","TICKET_ACCESS; TICKETS","Close exists; reopen from CLOSED absent."
"FEAT-056","Ticket Edit","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKET_ACCESS; TICKETS","Update path is scoped."
"FEAT-057","Ticket Delete","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKET_ACCESS; TICKETS; EVENTS","Delete is admin-only, scoped, and logged."
"FEAT-058","Ticket Project Link","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; TICKETS; PROJECTS","Project relation persists."
"FEAT-059","Ticket Reporter","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; TICKETS","Reporter is createdBy."
"FEAT-060","Ticket Category/Department","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; TICKETS","Category and department are separate."
"FEAT-061","Ticket Type/Subtype","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; TASKTYPES; TICKETS","Type/subtype models used in ticket create/display."
"FEAT-062","SLA Settings","SLA","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","SETTINGS; TICKET_TIMING","SLA values persist and drive timing."
"FEAT-063","Ticket SLA Timer","SLA","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKET_TIMING; TICKETS","Backend timing contract used."
"FEAT-064","SLA Progress Bar","SLA","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKET_TIMING","Progress comes from timing service."
"FEAT-065","Overdue Badge","SLA","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKET_TIMING; TICKETS","Overdue comes from backend timing."
"FEAT-066","Immediate Overdue Bug Check","SLA","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKET_TIMING","Open no-basis tickets are not overdue."
"FEAT-067","Working Hours Aware SLA","SLA","No","No","No","No","No","No","No","No","No","F","P2","TICKET_TIMING","No working-hours SLA engine."
"FEAT-068","Pause/Resume SLA","SLA","No","No","No","No","No","No","No","No","No","F","P2","TICKET_TIMING","No pause/resume SLA state."
"FEAT-069","Shared Ticket Timing Utility","SLA","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKET_TIMING","Shared backend service and frontend formatter exist."
"FEAT-070","SLA Risk Categories","SLA","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B","P1","TICKETS; DASH","Overdue/due soon/review/unassigned exist; blocked/ack absent."
"FEAT-071","Kanban Board Page","Kanban","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS","Scoped kanban columns load from backend."
"FEAT-072","Kanban Drag-and-Drop","Kanban","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS; TICKET_ACCESS","Drag uses backend status update."
"FEAT-073","Kanban Filters","Kanban","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Yes","B","P2","TICKETS","UI mainly exposes department filter."
"FEAT-074","Kanban Card SLA Display","Kanban","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKET_TIMING; TICKETS","Cards use backend-decorated timing."
"FEAT-075","Kanban Count Consistency","Kanban","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","TICKETS; TICKET_ACCESS","Counts come from same scoped result."
"FEAT-076","Kanban UI Contrast","Kanban","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","E","P2","kanban page source","Visual contrast not runtime-tested."
"FEAT-077","Projects List","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","PROJECTS","Scoped projects list."
"FEAT-078","New Project","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","PROJECTS","Manager/admin create persists."
"FEAT-079","Edit Project","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","PROJECTS; RBAC","Scoped project edit policy enforced."
"FEAT-080","Delete/Archive Project","Projects","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B","P1","PROJECTS","Delete exists; archive missing."
"FEAT-081","Project Detail","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","PROJECTS","Detail renders project, tickets, members, progress."
"FEAT-082","Project Tickets","Projects","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B","P1","PROJECTS; TICKETS","Linked tickets display; add existing incomplete."
"FEAT-083","Project Team","Projects","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Yes","B","P1","PROJECTS","Member APIs exist; frontend management incomplete."
"FEAT-084","Project Progress","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","PROJECTS","Progress computed from linked tickets."
"FEAT-085","Project Priority","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","DB; PROJECTS","Priority enum persists."
"FEAT-086","Project Status","Projects","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B","P2","DB; PROJECTS","Requested status taxonomy incomplete."
"FEAT-087","Strategic Projects Workspace","Projects","No","No","No","No","No","No","No","No","No","F","P3","PROJECTS","No separate workspace."
"FEAT-088","My Tasks Panel","Tasks","No","No","No","No","No","No","No","No","No","F","P3","DB; STATIC","No standalone task panel."
"FEAT-089","Task Board","Tasks","No","No","No","No","No","No","No","No","No","F","P3","DB","No task board."
"FEAT-090","Checklist Operations Console","Tasks","Yes","No","No","No","No","Yes","No","No","Yes","C","P3","STATIC","Static quick-action/checklist surface."
"FEAT-091","Add Personal Task","Tasks","No","No","No","No","No","No","No","No","No","F","P3","DB","No personal task API."
"FEAT-092","Add Team Duty","Tasks","No","No","No","No","No","No","No","No","No","F","P3","DB","No team duty API."
"FEAT-093","Complete Task","Tasks","No","No","No","No","No","No","No","No","No","F","P3","DB","No task completion endpoint."
"FEAT-094","Task Due Time","Tasks","No","No","No","No","No","No","No","No","No","F","P3","DB","Standalone task due time absent."
"FEAT-095","Task Owner","Tasks","No","No","No","No","No","No","No","No","No","F","P3","DB","Standalone task owner absent."
"FEAT-096","Leave List","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE","Paginated scoped leave list."
"FEAT-097","Apply Leave","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE","Leave create validates and persists."
"FEAT-098","Leave Summary Cards","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE","Summary cards use backend stats."
"FEAT-099","Leave Tabs","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE","Tabs map to scoped queries."
"FEAT-100","Leave Approval","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","LEAVE","Direct approve is scoped and hierarchy checked."
"FEAT-101","Leave Rejection","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","LEAVE","Direct reject is scoped and hierarchy checked."
"FEAT-102","Leave Types","Leave","Partial","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","B","P2","DB; LEAVE","Requested leave type set incomplete."
"FEAT-103","Leave Policy Settings","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","SETTINGS; LEAVE","Quotas save and drive balance."
"FEAT-104","Leave Balance Calculation","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE","Balance API computes allocation/approved/pending/balance."
"FEAT-105","Leave Count Consistency","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE","Stats/list share leave scope."
"FEAT-106","Leave Notifications","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE; NOTIFS","Leave notification events are wired."
"FEAT-107","Analytics Overview","Analytics","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","DASH","Ticket overview uses scoped query/timing."
"FEAT-108","Ticket Trend Chart","Analytics","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","DASH","Trend uses scoped query and resolvedAt."
"FEAT-109","Category Donut Chart","Analytics","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","DASH","Category groupBy is scoped."
"FEAT-110","Team Workload","Analytics","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","DASH","Workload uses visible users and scoped assignments."
"FEAT-111","Detailed Analytics Tab","Analytics","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Yes","B","P1","DASH","Uses capped ticket list, not dedicated detailed report query."
"FEAT-112","Analytics Scope Consistency","Analytics","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Partial","B","P0","DASH","Analytics scoped; home dashboard still has count/timing drift."
"FEAT-113","Reports Export","Reporting","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B","P1","TICKETS; STATIC","Ticket CSV works; reports builder/export suite absent."
"FEAT-114","Delivery Risk Snapshot","Delivery Risk","Partial","Yes","Partial","Partial","Yes","Partial","Yes","Partial","Partial","B","P1","DASH; TICKETS","Risk snapshot partial."
"FEAT-115","Delivery SLA Risks Analyzer","Delivery Risk","Partial","Yes","Partial","Partial","Yes","Partial","Yes","Partial","Partial","B","P2","TICKETS; STATIC","SLA risk endpoint exists; full analyzer UI absent."
"FEAT-116","Blocked Tickets Risk","Delivery Risk","No","No","No","No","No","No","No","No","No","F","P2","DB","No blocked status/model."
"FEAT-117","SLA Breach Risk","Delivery Risk","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS; TICKET_TIMING","Breach count uses timing service."
"FEAT-118","Unassigned Tickets Risk","Delivery Risk","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS","Unassigned count is scoped."
"FEAT-119","Review Ageing Risk","Delivery Risk","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B","P1","TICKETS","Review-ageing threshold semantics limited."
"FEAT-120","Risk Acknowledgement","Delivery Risk","No","No","No","No","No","No","No","No","No","F","P2","EVENTS; TICKETS","No ACK mutation/event."
"FEAT-121","Risk Severity","Delivery Risk","Partial","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Partial","B","P2","DASH; STATIC","Severity labels exist without normalized risk records."
"FEAT-122","Dashboard Notifications","Notifications","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","NOTIFS","Notification panel loads backend data."
"FEAT-123","Notification Bell","Notifications","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","NOTIFS","Unread count backend-backed."
"FEAT-124","System Alerts Dropdown","Notifications","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Yes","C","P3","DASH; STATIC","System alerts are UI-derived/static, not persisted alert records."
"FEAT-125","Mark All Read","Notifications","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","NOTIFS","Mark-all-read scoped to current user."
"FEAT-126","Dismiss Alert","Notifications","No","Yes","Yes","No","Yes","No","Yes","Unknown","Unknown","D","P2","NOTIFS","Backend delete exists; UI missing."
"FEAT-127","Notification Preferences","Notifications","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","A","P1","USERS; NOTIFS; SETTINGS","Prefs persist and are checked."
"FEAT-128","Quiet Hours","Notifications","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","A","P2","NOTIFS; SETTINGS","Quiet hours suppress realtime delivery."
"FEAT-129","Notification Event Triggers","Notifications","Partial","Yes","Partial","Partial","Yes","Partial","Partial","Unknown","Yes","B","P1","TICKETS; LEAVE; NOTIFS","Some scheduler/automation paths bypass preferences."
"FEAT-130","Command Center Shell","Command Center","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Unknown","Partial","B","P1","AUTH; STATIC","Shell exists; auth refresh partial."
"FEAT-131","Global Command Search","Command Center","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Partial","Yes","B","P2","STATIC; TICKETS; PROJECTS; USERS","Search covers tickets/projects/people, not all domains."
"FEAT-132","Command Palette / Quick Actions","Command Center","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Yes","B","P2","STATIC","Mixed real navigation and static actions."
"FEAT-133","Quick Action: Create New Ticket","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","STATIC; TICKETS","Routes to real create flow."
"FEAT-134","Quick Action: Review Delivery Risks","Command Center","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Yes","B","P2","STATIC; TICKETS","No full risk analyzer action."
"FEAT-135","Quick Action: Check Due Today","Command Center","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Yes","B","P2","STATIC; TICKETS","Ticket page does not parse due-today URL filter."
"FEAT-136","Quick Action: Review High Priority","Command Center","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Yes","B","P2","STATIC; TICKETS","Ticket page does not hydrate priority URL filter."
"FEAT-137","Quick Action: Open Projects","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","STATIC; PROJECTS","Routes to connected projects."
"FEAT-138","Quick Action: Check Team Availability","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","STATIC; WORKDAY","Routes to connected team availability."
"FEAT-139","Quick Action: Review Leave Requests","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","STATIC; LEAVE","Routes to leave page."
"FEAT-140","Operations Broadcast Banner","Broadcasts","Yes","No","No","No","No","Yes","No","No","Yes","C","P3","STATIC; DASH","Banner has no broadcast model/API."
"FEAT-141","Broadcast Details Modal","Broadcasts","Yes","No","No","No","No","Yes","No","No","Yes","C","P3","STATIC","Details are static UI."
"FEAT-142","Acknowledge Broadcast","Broadcasts","No","No","No","No","No","No","No","No","No","F","P3","STATIC","No acknowledgement mutation."
"FEAT-143","Add to Calendar","Calendar","Yes","No","No","No","No","Yes","No","No","Yes","C","P3","STATIC","Broadcast add-to-calendar is local state only."
"FEAT-144","Create Pre-review Ticket from Broadcast","Broadcasts","No","No","No","No","No","No","No","No","No","F","P3","STATIC; TICKETS","No integration."
"FEAT-145","Broadcast History","Broadcasts","No","No","No","No","No","No","No","No","No","F","P3","DB","No broadcast history model/page."
"FEAT-146","Critical Timeline Milestones","Timeline","Partial","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B","P2","DASH; calendar page","Calendar/upcoming events use tickets/leave only."
"FEAT-147","Milestone Types","Timeline","Partial","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Partial","B","P3","DASH","Milestone types inferred, not modeled."
"FEAT-148","Milestone Links","Timeline","Partial","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B","P2","DASH","Ticket/leave links exist; full milestone links incomplete."
"FEAT-149","Settings Shell","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","SETTINGS","Role-visible settings sections exist."
"FEAT-150","Settings Profile","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","SETTINGS; USERS","Profile settings save through user APIs."
"FEAT-151","Appearance Settings","Settings","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Yes","B","P2","SETTINGS; STATIC","Some appearance settings remain local-only."
"FEAT-152","Company Default Theme","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","SETTINGS","Company theme/accent persist."
"FEAT-153","Preferences Settings","Settings","Yes","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Yes","B","P2","USERS; SETTINGS; STATIC","Prefs persist; onboarding reset local-only."
"FEAT-154","Security Settings","Settings","Yes","Yes","Partial","Yes","Yes","No","Yes","Unknown","Yes","B","P1","AUTH; SETTINGS","Password change works; session/security management partial."
"FEAT-155","Company Info Settings","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","SETTINGS","Company info persists."
"FEAT-156","SLA Settings Persistence","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","SETTINGS; TICKET_TIMING","Saved SLA drives timing."
"FEAT-157","Task Types Settings","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TASKTYPES","Task type CRUD is connected."
"FEAT-158","Custom Subtype Save","Settings/Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TASKTYPES; TICKETS","Custom subtype text persists on ticket."
"FEAT-159","Email & SMTP Settings","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","SETTINGS","SMTP settings save with mask preservation."
"FEAT-160","Send Test Email","Settings","No","No","No","No","No","No","No","No","No","F","P2","SETTINGS","No test email endpoint/UI."
"FEAT-161","Dark Theme","Theme/UI","Yes","Partial","Partial","Partial","Partial","No","Yes","Yes","Yes","A","P2","SETTINGS; STATIC; globals.css","Dark theme tokens/classes exist."
"FEAT-162","Light Theme","Theme/UI","Yes","Partial","Partial","Partial","Partial","No","Yes","Yes","Yes","A","P2","SETTINGS; STATIC; globals.css","Light theme default exists."
"FEAT-163","Theme Presets","Theme/UI","Yes","Partial","Partial","Partial","Partial","Yes","Yes","Yes","Yes","A","P2","SETTINGS","Theme presets implemented."
"FEAT-164","Accent Color","Theme/UI","Yes","Partial","Partial","Partial","Partial","Yes","Yes","Yes","Yes","A","P2","SETTINGS; STATIC","Accent persists locally/company default."
"FEAT-165","Font Size","Theme/UI","Yes","No","No","No","Partial","Yes","No","No","Yes","A","P3","STATIC","Local persisted font-size setting exists."
"FEAT-166","Compact Mode","Theme/UI","Yes","No","No","No","Partial","Yes","No","No","Yes","A","P3","STATIC","Local persisted compact mode exists."
"FEAT-167","Consistent Design Tokens","Theme/UI","Yes","Partial","Partial","Partial","Partial","No","Yes","Yes","Yes","A","P2","globals.css; SETTINGS","CSS/data-theme tokens centralized."
