"Feature ID","Feature","Module","UI Exists","Backend Model Exists","Backend API/Service Exists","Frontend Calls Backend","Persists to DB","Uses Mock/Static Data","RBAC/Role Scoped","Counts Consistent","Error/Loading States","Status","Priority","Evidence","Notes"
"FEAT-030","Team Members","Departments/Teams","Partial","Partial","Partial","Partial","Partial","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","SCHEMA_DEPT, USERS2, TEAMFE1","Team members work through department membership, not a dedicated team membership model."
"FEAT-031","Workday Start","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_WORKDAY, WORKDAY1, FEWORKDAY1","Start work creates/updates a persisted WorkSession and attendance event."
"FEAT-032","Workday Active State","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","WORKDAY1, FEWORKDAY1","Active state, started time, and duration come from today workday API data."
"FEAT-033","Break Flow","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_WORKDAY, WORKDAY1, FEWORKDAY1","Break start/end is backed by BreakLog records."
"FEAT-034","Break Types","Workday/Attendance","Yes","No","Partial","Yes","Partial","Yes","No","No","Yes","C_FRONTEND_ONLY","P2","FEWORKDAY1","Break type choices are static UI options; backend persists only the chosen string."
"FEAT-035","Resume Work","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","WORKDAY1, FEWORKDAY1","Resume work is connected through the workday API."
"FEAT-036","End Workday","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","WORKDAY1, FEWORKDAY1","End day updates the WorkSession and returns summary values."
"FEAT-037","End Day Summary","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","WORKDAY1, FEWORKDAY1","Work time and break totals are computed from persisted session/break records."
"FEAT-038","Workday Logs","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_WORKDAY, WORKDAY1","Workday and attendance events are stored in WorkSession, BreakLog, and AttendanceEvent."
"FEAT-039","Team Workday Visibility","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","WORKDAY1, TEAMFE1","Team visibility calls the scoped workday team endpoint."
"FEAT-040","Idle Tracking","Workday/Attendance","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","A_FULLY_CONNECTED","P2","WORKDAY1, FEWORKDAY1","Idle reporting and resume endpoints are present and wired to the workday UI."
"FEAT-041","Ticket List Page","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","A_FULLY_CONNECTED","P1","SCHEMA_TICKET, TICKETS1, FETICKETS1","Ticket list loads paginated, role-scoped tickets through the backend."
"FEAT-042","New Ticket","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","TICKETS1, TICKETS2, FENEWTICKET1","Create ticket form posts to the backend and persists relations and subtype data."
"FEAT-043","Ticket Search","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","A_FULLY_CONNECTED","P1","TICKETS2, FETICKETS1","Search is passed to backend ticket filters and refetches the list."
"FEAT-044","Ticket Filters","Tickets","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","TICKETS2, FETICKETS1","Status, category, priority and department are wired, but due/overdue/assignee/project filters are incomplete in UI."
"FEAT-045","Ticket Sorting","Tickets","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B_PARTIAL_OR_BROKEN","P2","TICKETS2, FETICKETS1","Backend has fixed ordering, but user-facing sort controls are incomplete."
"FEAT-046","Ticket Status Tabs","Tickets","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","TICKETS3, FETICKETS1","Tabs filter real data, but tab counts and backend stats are separate calculations."
"FEAT-047","Ticket Export","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","TICKETS1, TICKETS2, FETICKETS1","Ticket CSV export calls the backend scoped export endpoint."
"FEAT-048","Ticket Detail Page","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS1, TICKETS2, FETICKETDETAIL1","Detail UI is real, but backend findOne is not role scoped by ticket ID."
"FEAT-049","Ticket Comments","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P0","COMMENTS1, FETICKETDETAIL1","Comment APIs exist, but they rely on ticket ID access without enough scoped ticket checks."
"FEAT-050","Ticket History","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS1, TICKETS2, FETICKETDETAIL1","History is logged and shown, but history fetch is not scoped by accessible ticket."
"FEAT-051","Ticket Attachments","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS1, UPLOADS1, FETICKETDETAIL1","Uploads persist, but attachment access inherits the unscoped ticket detail risk."
"FEAT-052","Ticket Assignment","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS1, TICKETS2, FETICKETDETAIL1","Assignment mutates backend state, but manager/admin scope is broad and frontend role assumptions differ."
"FEAT-053","Ticket Reassignment","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","TICKETS2, FETICKETDETAIL1","Assigned-to changes are persisted and written to ticket history."
"FEAT-054","Ticket Status Workflow","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS2, FETICKETDETAIL1","Status updates persist, but transition and approval rules differ between frontend and backend."
"FEAT-055","Ticket Close/Reopen","Tickets","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","TICKETS2, FETICKETDETAIL1","Close can be sent as a status update, but no complete reopen workflow was found."
"FEAT-056","Ticket Edit","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","TICKETS2, FETICKETDETAIL1","Edit persists, but authorization is broader than department/team ownership."
"FEAT-057","Ticket Delete","Tickets","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS1, FETICKETDETAIL1","Delete is guarded by role but not department scope and appears to hard-delete rather than archive."
"FEAT-058","Ticket Project Link","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_TICKET, TICKETS2, PROJECTS2, FENEWTICKET1","Ticket projectId relation is persisted and displayed."
"FEAT-059","Ticket Reporter","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_TICKET, TICKETS2, FETICKETDETAIL1","Reporter is the createdBy relation and is displayed in ticket views."
"FEAT-060","Ticket Category/Department","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_TICKET, TICKETS2, FETICKETS1","Category and department are separate persisted fields/relations."
"FEAT-061","Ticket Type/Subtype","Tickets","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_TASKTYPES, TASKTYPES1, FENEWTICKET1","Task types and subtypes are backed by database models and used in ticket creation."
"FEAT-062","SLA Settings","SLA/Timing","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","SETTINGS1, TICKETS2, FESETTINGS1","SLA settings persist, but execution SLA still uses hardcoded priority hours."
"FEAT-063","Ticket SLA Timer","SLA/Timing","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS2, FETICKETDETAIL1, SLAUTIL1","Timer data exists, but frontend and backend calculations are duplicated and inconsistent."
"FEAT-064","SLA Progress Bar","SLA/Timing","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS2, SLAUTIL1, FEKANBAN1","Progress bars are displayed, but calculation paths differ across ticket list/detail/kanban."
"FEAT-065","Overdue Badge","SLA/Timing","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","TICKETS2, TICKETS3, SLAUTIL1","Overdue badge logic mixes dueDate, executionDueAt, reviewDueAt and stats queries."
"FEAT-066","Immediate Overdue Bug Check","SLA/Timing","Partial","Yes","Partial","Partial","Yes","Partial","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P0","TICKETS2, SLAUTIL1","New-ticket timing is improved by due dates, but mixed timer sources still leave immediate-overdue regression risk."
"FEAT-067","Working Hours Aware SLA","SLA/Timing","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","TICKETS2, SETTINGS1","No working-hours-aware SLA engine was found."
"FEAT-068","Pause/Resume SLA","SLA/Timing","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","TICKETS2","No SLA pause/resume state was found."
"FEAT-069","Shared Ticket Timing Utility","SLA/Timing","Partial","Yes","Partial","Partial","Yes","Partial","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","SLAUTIL1, TICKETS2","There is a frontend SLA utility, but backend timing logic remains separate."
"FEAT-070","SLA Risk Categories","SLA/Timing","Partial","Yes","Partial","Partial","Yes","Partial","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","HOME1, TICKETS3","Some risk counts exist, but blocker, review-ageing and acknowledgement flows are incomplete."
"FEAT-071","Kanban Board Page","Kanban","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","TICKETS1, TICKETS2, FEKANBAN1","Kanban columns and cards load from scoped backend ticket data."
"FEAT-072","Kanban Drag-and-Drop","Kanban","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","TICKETS1, TICKETS2, FEKANBAN1","Drag sends backend status updates, but frontend team-lead permissions can exceed backend rules."
"FEAT-073","Kanban Filters","Kanban","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Yes","B_PARTIAL_OR_BROKEN","P2","TICKETS2, FEKANBAN1","Kanban filtering is limited mainly to department."
"FEAT-074","Kanban Card SLA Display","Kanban","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","FEKANBAN1, SLAUTIL1, TICKETS2","Cards show SLA data, but use the same inconsistent timing sources as tickets."
"FEAT-075","Kanban Count Consistency","Kanban","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B_PARTIAL_OR_BROKEN","P0","TICKETS2, TICKETS3, FEKANBAN1","Kanban counts exclude closed tickets and are separate from list/stats queries."
"FEAT-076","Kanban UI Contrast","Kanban","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","E_UNKNOWN","P2","FEKANBAN1","No screenshot/browser QA was run in this read-only audit, so contrast is unknown."
"FEAT-077","Projects List","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","A_FULLY_CONNECTED","P1","SCHEMA_PROJECT, PROJECTS1, FEPROJECTS1","Project list is backed by paginated, scoped project API data."
"FEAT-078","New Project","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","PROJECTS1, PROJECTS2, FEPROJECTS1","Create project is guarded and persists owner/team data."
"FEAT-079","Edit Project","Projects","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","PROJECTS1, PROJECTS2, FEPROJECTDETAIL1","Edit persists, but frontend permits TEAM_LEAD while backend allows manager/admin/superadmin only."
"FEAT-080","Delete/Archive Project","Projects","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","PROJECTS1, FEPROJECTDETAIL1","Delete exists for admin roles, but no archive workflow is present."
"FEAT-081","Project Detail","Projects","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","A_FULLY_CONNECTED","P1","PROJECTS1, PROJECTS2, FEPROJECTDETAIL1","Project detail renders real project, tickets, members, and progress."
"FEAT-082","Project Tickets","Projects","Partial","Yes","Yes","Partial","Yes","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","PROJECTS2, FEPROJECTDETAIL1, FENEWTICKET1","Linked tickets display, but adding existing tickets is mostly through ticket create/edit rather than project detail."
"FEAT-083","Project Team","Projects","Partial","Yes","Yes","Partial","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","SCHEMA_PROJECT, PROJECTS1, PROJECTS2, FEPROJECTDETAIL1","Backend member APIs exist, but project detail lacks complete add/remove member UI."
"FEAT-084","Project Progress","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","PROJECTS2, FEPROJECTDETAIL1","Progress is computed from linked ticket completion."
"FEAT-085","Project Priority","Projects","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","SCHEMA_PROJECT, PROJECTS2, FEPROJECTS1","Project priority is a persisted enum and displayed in UI."
"FEAT-086","Project Status","Projects","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B_PARTIAL_OR_BROKEN","P2","SCHEMA_PROJECT, PROJECTS2, FEPROJECTS1","Status is persisted, but does not cover all requested on-track/at-risk/delayed/archive states."
"FEAT-087","Strategic Projects Workspace","Projects","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","FEPROJECTS1, FEPROJECTDETAIL1","No separate strategic-projects focus workspace was found."
"FEAT-088","My Tasks Panel","Tasks/Checklist","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","ROUTES1","No separate personal task panel was found beyond tickets and quick actions."
"FEAT-089","Task Board","Tasks/Checklist","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","ROUTES1, SCHEMA_ALL","No standalone task board or Task model was found."
"FEAT-090","Checklist Operations Console","Tasks/Checklist","Yes","No","No","No","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P3","QUICK1","Checklist/operations console behavior is static quick-action UI, not persisted tasks."
"FEAT-091","Add Personal Task","Tasks/Checklist","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","SCHEMA_ALL, API1","No personal task persistence model or API was found."
"FEAT-092","Add Team Duty","Tasks/Checklist","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","SCHEMA_ALL, API1","No team duty persistence model or API was found."
"FEAT-093","Complete Task","Tasks/Checklist","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","SCHEMA_ALL, API1","No task completion API was found."
"FEAT-094","Task Due Time","Tasks/Checklist","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","SCHEMA_ALL, API1","No task due time persistence exists outside ticket due dates."
"FEAT-095","Task Owner","Tasks/Checklist","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","SCHEMA_ALL","No task owner relation exists outside tickets/projects."
"FEAT-096","Leave List","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_LEAVE, LEAVE1, FELEAVE1","Leave list uses paginated, role-scoped backend data."
"FEAT-097","Apply Leave","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","LEAVE1, LEAVE2, FELEAVE1","Apply leave posts to backend and persists a LeaveRequest."
"FEAT-098","Leave Summary Cards","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","LEAVE2, FELEAVE1","Summary cards read backend leave stats."
"FEAT-099","Leave Tabs","Leave","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","LEAVE2, FELEAVE1","Tabs are connected, but role/approval assumptions differ for TEAM_LEAD."
"FEAT-100","Leave Approval","Leave","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","LEAVE1, LEAVE2, FELEAVE1","Approval persists, but backend does not fully enforce department/managed-department scope by ID."
"FEAT-101","Leave Rejection","Leave","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","LEAVE1, LEAVE2, FELEAVE1","Rejection persists, but has the same scope issue as approval."
"FEAT-102","Leave Types","Leave","Partial","Yes","Partial","Partial","Yes","No","Yes","Yes","Yes","B_PARTIAL_OR_BROKEN","P2","SCHEMA_LEAVE, FELEAVE1","Leave enum covers annual/sick/emergency/unpaid/other, not the full requested type set."
"FEAT-103","Leave Policy Settings","Leave","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","SETTINGS1, FESETTINGS1, LEAVE2","Leave policy values save, but they are not clearly used in leave balance enforcement."
"FEAT-104","Leave Balance Calculation","Leave","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P1","LEAVE2, FELEAVE1","No durable leave balance calculation service/UI was found."
"FEAT-105","Leave Count Consistency","Leave","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","LEAVE2, FELEAVE1","List and stats are generated by the same LeaveService scope helpers."
"FEAT-106","Leave Notifications","Leave","Partial","Yes","Partial","Partial","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P1","LEAVE2, NOTIFS1","Approval/rejection notifications exist, but preference enforcement and applied-notification coverage are incomplete."
"FEAT-107","Analytics Overview","Analytics/Reporting","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","DASH1, FEANALYTICS1","Overview is connected, but totalTickets is unscoped while other values use role scope."
"FEAT-108","Ticket Trend Chart","Analytics/Reporting","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","DASH1, FEANALYTICS1","Trend chart is real, but resolved counts are derived from createdAt rather than a resolved timestamp."
"FEAT-109","Category Donut Chart","Analytics/Reporting","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","DASH1, FEANALYTICS1","Category data is backend-driven but not role scoped."
"FEAT-110","Team Workload","Analytics/Reporting","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","DASH1, FEANALYTICS1","Workload data is backend-driven but not role scoped to manager/team visibility."
"FEAT-111","Detailed Analytics Tab","Analytics/Reporting","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","FEANALYTICS1, TICKETS2","Detailed view uses a capped ticket list rather than a dedicated analytics query."
"FEAT-112","Analytics Scope Consistency","Analytics/Reporting","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P0","DASH1, FEANALYTICS1","Analytics filters, role scope, and counts are not consistently shared with ticket list queries."
"FEAT-113","Reports Export","Analytics/Reporting","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","REPORTS1, FETICKETS1, FEANALYTICS1","Reports route redirects to analytics and only ticket CSV export is complete."
