OriginalPath,NewPath,Action,Category,Reason,SensitiveReview,Notes
"FEATURE_CONNECTIVITY_MATRIX_POST_P1C.csv","docs/audits/connectivity/FEATURE_CONNECTIVITY_MATRIX_POST_P1C.csv",MOVE,audits-connectivity,"subject","Not applicable - narrative document",""
"FEATURE_CONNECTIVITY_MATRIX_POST_P1C.md","docs/audits/connectivity/FEATURE_CONNECTIVITY_MATRIX_POST_P1C.md",MOVE,audits-connectivity,"subject","Not applicable - narrative document",""
"FEATURE_CONNECTIVITY_SUMMARY.md","docs/audits/connectivity/FEATURE_CONNECTIVITY_SUMMARY.md",MOVE,audits-connectivity,"subject","Not applicable - narrative document",""
"FEATURE_CONNECTIVITY_SUMMARY_POST_P1C.md","docs/audits/connectivity/FEATURE_CONNECTIVITY_SUMMARY_POST_P1C.md",MOVE,audits-connectivity,"subject","Not applicable - narrative document",""
"FILES_AND_EXPORTS_REPORT.md","docs/archive/legacy-reports/FILES_AND_EXPORTS_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"FILES_EXPORTS_INTEGRATIONS_REPORT.md","docs/archive/legacy-reports/FILES_EXPORTS_INTEGRATIONS_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"FINAL_AUTH_SMOKE_TEST_ISSUES.md","docs/features/authentication/FINAL_AUTH_SMOKE_TEST_ISSUES.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"FINAL_AUTH_SMOKE_TEST_MATRIX.md","docs/features/authentication/FINAL_AUTH_SMOKE_TEST_MATRIX.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"FINAL_AUTH_SMOKE_TEST_NEXT_FIX_ORDER.md","docs/features/authentication/FINAL_AUTH_SMOKE_TEST_NEXT_FIX_ORDER.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"FINAL_AUTH_SMOKE_TEST_REPORT.md","docs/features/authentication/FINAL_AUTH_SMOKE_TEST_REPORT.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"FINAL_UX_POLISH_REPORT.md","docs/qa/accessibility/FINAL_UX_POLISH_REPORT.md",MOVE,qa-accessibility,"subject","Not applicable - narrative document",""
"FIX_PACK_ROADMAP.md","docs/operations/stabilization/FIX_PACK_ROADMAP.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"FP-20B_IMPLEMENTATION_MAP.md","docs/programs/fp20/FP20B_IMPLEMENTATION_MAP.md",RENAME+MOVE,programs-fp20,"approved rename","Not applicable - narrative document",""
"FP10_MISSING_FEATURE_CLOSURE_AUDIT.md","docs/programs/fp10/FP10_MISSING_FEATURE_CLOSURE_AUDIT.md",MOVE,programs-fp10,"prefix","Not applicable - narrative document",""
"FP10_MISSING_FEATURE_CLOSURE_REPORT.md","docs/programs/fp10/FP10_MISSING_FEATURE_CLOSURE_REPORT.md",MOVE,programs-fp10,"prefix","Not applicable - narrative document",""
"FP10_MISSING_FEATURE_VERIFICATION_REPORT.md","docs/programs/fp10/FP10_MISSING_FEATURE_VERIFICATION_REPORT.md",MOVE,programs-fp10,"prefix","Not applicable - narrative document",""
"FP10_REMAINING_GAPS.md","docs/programs/fp10/FP10_REMAINING_GAPS.md",MOVE,programs-fp10,"prefix","Not applicable - narrative document",""
"FP11A_OTP_EMAIL_PIPELINE_MATRIX.md","docs/programs/fp11/FP11A_OTP_EMAIL_PIPELINE_MATRIX.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11A_OTP_EMAIL_PIPELINE_TRACE.md","docs/programs/fp11/FP11A_OTP_EMAIL_PIPELINE_TRACE.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11A_OTP_EMAIL_PRIORITY.md","docs/programs/fp11/FP11A_OTP_EMAIL_PRIORITY.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11B_EMAIL_PROVIDER_AUDIT.md","docs/programs/fp11/FP11B_EMAIL_PROVIDER_AUDIT.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11B_REMAINING_GAPS.md","docs/programs/fp11/FP11B_REMAINING_GAPS.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11B_RESEND_EMAIL_DELIVERY_REPORT.md","docs/programs/fp11/FP11B_RESEND_EMAIL_DELIVERY_REPORT.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11B_RESEND_EMAIL_DELIVERY_VERIFICATION.md","docs/programs/fp11/FP11B_RESEND_EMAIL_DELIVERY_VERIFICATION.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11_STORAGE_EMAIL_AUDIT.md","docs/programs/fp11/FP11_STORAGE_EMAIL_AUDIT.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11_STORAGE_EMAIL_MATRIX.md","docs/programs/fp11/FP11_STORAGE_EMAIL_MATRIX.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP11_STORAGE_EMAIL_PRIORITY.md","docs/programs/fp11/FP11_STORAGE_EMAIL_PRIORITY.md",MOVE,programs-fp11,"prefix","Not applicable - narrative document",""
"FP12_RECURRING_TICKET_SCHEDULER_FIX_REPORT.md","docs/programs/fp12/FP12_RECURRING_TICKET_SCHEDULER_FIX_REPORT.md",MOVE,programs-fp12,"prefix","Not applicable - narrative document",""
"FP12_RECURRING_TICKET_SCHEDULER_VERIFICATION.md","docs/programs/fp12/FP12_RECURRING_TICKET_SCHEDULER_VERIFICATION.md",MOVE,programs-fp12,"prefix","Not applicable - narrative document",""
"FP13_1A_TICKET_STATE_GUARDRAILS_REPORT.md",,DELETE,zero-byte,"zero-byte, unreferenced",Not applicable,"0 bytes; git grep found no references"
"FP13_1A_TICKET_STATE_GUARDRAILS_VERIFICATION.md","docs/programs/fp13/FP13_1A_TICKET_STATE_GUARDRAILS_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B1_TIMER_LEDGER_SCHEMA_REPORT.md","docs/programs/fp13/FP13_1B1_TIMER_LEDGER_SCHEMA_REPORT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B1_TIMER_LEDGER_SCHEMA_VERIFICATION.md","docs/programs/fp13/FP13_1B1_TIMER_LEDGER_SCHEMA_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B2_TICKET_LEDGER_SERVICE_REPORT.md","docs/programs/fp13/FP13_1B2_TICKET_LEDGER_SERVICE_REPORT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B2_TICKET_LEDGER_SERVICE_VERIFICATION.md","docs/programs/fp13/FP13_1B2_TICKET_LEDGER_SERVICE_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B_MIGRATION_RISK_PLAN.md","docs/programs/fp13/FP13_1B_MIGRATION_RISK_PLAN.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B_NEXT_IMPLEMENTATION_PROMPT.md","docs/programs/fp13/FP13_1B_NEXT_IMPLEMENTATION_PROMPT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B_TIMER_LEDGER_AUDIT.md","docs/programs/fp13/FP13_1B_TIMER_LEDGER_AUDIT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B_TIMER_LEDGER_SCHEMA_DESIGN.md","docs/programs/fp13/FP13_1B_TIMER_LEDGER_SCHEMA_DESIGN.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1B_TIMER_LIFECYCLE_FLOW.md","docs/programs/fp13/FP13_1B_TIMER_LIFECYCLE_FLOW.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1C_WORKDAY_TICKET_TIMER_AUDIT.md","docs/programs/fp13/FP13_1C_WORKDAY_TICKET_TIMER_AUDIT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1C_WORKDAY_TICKET_TIMER_REPORT.md","docs/programs/fp13/FP13_1C_WORKDAY_TICKET_TIMER_REPORT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1C_WORKDAY_TICKET_TIMER_VERIFICATION.md","docs/programs/fp13/FP13_1C_WORKDAY_TICKET_TIMER_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1D_REVIEW_REWORK_AUDIT.md","docs/programs/fp13/FP13_1D_REVIEW_REWORK_AUDIT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1D_REVIEW_REWORK_REPORT.md","docs/programs/fp13/FP13_1D_REVIEW_REWORK_REPORT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1D_REVIEW_REWORK_VERIFICATION.md","docs/programs/fp13/FP13_1D_REVIEW_REWORK_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1E_REVIEW_METRICS_REPORT.md","docs/programs/fp13/FP13_1E_REVIEW_METRICS_REPORT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_1E_REVIEW_METRICS_VERIFICATION.md","docs/programs/fp13/FP13_1E_REVIEW_METRICS_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_2_PERMISSION_AUDIT.md","docs/programs/fp13/FP13_2_PERMISSION_AUDIT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_4A_ANALYTICS_DASHBOARD_UI_AUDIT.md","docs/programs/fp13/FP13_4A_ANALYTICS_DASHBOARD_UI_AUDIT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_4A_ANALYTICS_DASHBOARD_UI_REPORT.md","docs/programs/fp13/FP13_4A_ANALYTICS_DASHBOARD_UI_REPORT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_4A_ANALYTICS_DASHBOARD_UI_VERIFICATION.md","docs/programs/fp13/FP13_4A_ANALYTICS_DASHBOARD_UI_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_4A_PROJECT_DETAIL_ROUTING_REPORT.md","docs/programs/fp13/FP13_4A_PROJECT_DETAIL_ROUTING_REPORT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_4A_PROJECT_DETAIL_ROUTING_VERIFICATION.md","docs/programs/fp13/FP13_4A_PROJECT_DETAIL_ROUTING_VERIFICATION.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_EMPLOYEE_BUG_PRIORITY_BOARD.md","docs/programs/fp13/FP13_EMPLOYEE_BUG_PRIORITY_BOARD.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_LIFECYCLE_GAP_AUDIT_MASTER.md","docs/programs/fp13/FP13_LIFECYCLE_GAP_AUDIT_MASTER.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_LIFECYCLE_RULE_COMPLIANCE_MATRIX.md","docs/programs/fp13/FP13_LIFECYCLE_RULE_COMPLIANCE_MATRIX.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_NEXT_FIX_PACK_ORDER.md","docs/programs/fp13/FP13_NEXT_FIX_PACK_ORDER.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP13_PROJECTS_MODULE_REAUDIT.md","docs/programs/fp13/FP13_PROJECTS_MODULE_REAUDIT.md",MOVE,programs-fp13,"prefix","Not applicable - narrative document",""
"FP14A_PROJECT_V2_CURRENT_STATE_AUDIT.md","docs/programs/fp14/FP14A_PROJECT_V2_CURRENT_STATE_AUDIT.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14A_PROJECT_V2_DATA_API_PLAN.md","docs/programs/fp14/FP14A_PROJECT_V2_DATA_API_PLAN.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14A_PROJECT_V2_GAP_MATRIX.md","docs/programs/fp14/FP14A_PROJECT_V2_GAP_MATRIX.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14A_PROJECT_V2_IMPLEMENTATION_ROADMAP.md","docs/programs/fp14/FP14A_PROJECT_V2_IMPLEMENTATION_ROADMAP.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14A_PROJECT_V2_PROTOTYPE_INVENTORY.md","docs/programs/fp14/FP14A_PROJECT_V2_PROTOTYPE_INVENTORY.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14A_PROJECT_V2_RISK_ASSESSMENT.md","docs/programs/fp14/FP14A_PROJECT_V2_RISK_ASSESSMENT.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14B_PROJECT_BACKEND_FOUNDATION_AUDIT.md","docs/programs/fp14/FP14B_PROJECT_BACKEND_FOUNDATION_AUDIT.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14B_PROJECT_BACKEND_FOUNDATION_REPORT.md","docs/programs/fp14/FP14B_PROJECT_BACKEND_FOUNDATION_REPORT.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP14B_PROJECT_BACKEND_FOUNDATION_VERIFICATION.md","docs/programs/fp14/FP14B_PROJECT_BACKEND_FOUNDATION_VERIFICATION.md",MOVE,programs-fp14,"prefix","Not applicable - narrative document",""
"FP15B_3_APPROVAL_STALE_STATUS_FIX_REPORT.md","docs/programs/fp15/FP15B_3_APPROVAL_STALE_STATUS_FIX_REPORT.md",MOVE,programs-fp15,"prefix","Not applicable - narrative document",""
"FP15B_3_APPROVAL_STALE_STATUS_FIX_VERIFICATION.md","docs/programs/fp15/FP15B_3_APPROVAL_STALE_STATUS_FIX_VERIFICATION.md",MOVE,programs-fp15,"prefix","Not applicable - narrative document",""
"FP15B_EMPLOYEE_HIERARCHY_APPROVAL_AUDIT.md","docs/programs/fp15/FP15B_EMPLOYEE_HIERARCHY_APPROVAL_AUDIT.md",MOVE,programs-fp15,"prefix","Not applicable - narrative document",""
"FP15B_EMPLOYEE_HIERARCHY_APPROVAL_REPORT.md","docs/programs/fp15/FP15B_EMPLOYEE_HIERARCHY_APPROVAL_REPORT.md",MOVE,programs-fp15,"prefix","Not applicable - narrative document",""
"FP15B_EMPLOYEE_HIERARCHY_APPROVAL_VERIFICATION.md","docs/programs/fp15/FP15B_EMPLOYEE_HIERARCHY_APPROVAL_VERIFICATION.md",MOVE,programs-fp15,"prefix","Not applicable - narrative document",""
"FP15B_HIERARCHY_REQUEST_MODAL_UX_REPORT.md","docs/programs/fp15/FP15B_HIERARCHY_REQUEST_MODAL_UX_REPORT.md",MOVE,programs-fp15,"prefix","Not applicable - narrative document",""
"FP15B_HIERARCHY_REQUEST_MODAL_UX_VERIFICATION.md","docs/programs/fp15/FP15B_HIERARCHY_REQUEST_MODAL_UX_VERIFICATION.md",MOVE,programs-fp15,"prefix","Not applicable - narrative document",""
"FP16A_WORKDAY_TIME_POLICY_AUDIT.md","docs/programs/fp16/FP16A_WORKDAY_TIME_POLICY_AUDIT.md",MOVE,programs-fp16,"prefix","Not applicable - narrative document",""
"FP16C_TICKET_REWORK_CLOCKS_RATINGS_AUDIT.md","docs/programs/fp16/FP16C_TICKET_REWORK_CLOCKS_RATINGS_AUDIT.md",MOVE,programs-fp16,"prefix","Not applicable - narrative document",""
"FP18A_PRODUCTION_SMOKE_TEST_REPORT.md","docs/programs/fp18/FP18A_PRODUCTION_SMOKE_TEST_REPORT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18A_RUNTIME_ISSUE_REGISTER.md","docs/programs/fp18/FP18A_RUNTIME_ISSUE_REGISTER.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18B_WORKDAY_RUNTIME_CALCULATION_REPORT.md","docs/programs/fp18/FP18B_WORKDAY_RUNTIME_CALCULATION_REPORT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18B_WORKDAY_RUNTIME_ISSUE_REGISTER.md","docs/programs/fp18/FP18B_WORKDAY_RUNTIME_ISSUE_REGISTER.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18C_TICKET_TIMER_TRIGGER_AUDIT.md","docs/programs/fp18/FP18C_TICKET_TIMER_TRIGGER_AUDIT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18C_TICKET_TIMER_TRIGGER_ISSUE_REGISTER.md","docs/programs/fp18/FP18C_TICKET_TIMER_TRIGGER_ISSUE_REGISTER.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18C_TICKET_TIMER_TRIGGER_REPORT.md","docs/programs/fp18/FP18C_TICKET_TIMER_TRIGGER_REPORT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18D_NOTIFICATION_MONITORING_AUDIT.md","docs/programs/fp18/FP18D_NOTIFICATION_MONITORING_AUDIT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18D_NOTIFICATION_MONITORING_ISSUE_REGISTER.md","docs/programs/fp18/FP18D_NOTIFICATION_MONITORING_ISSUE_REGISTER.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18D_NOTIFICATION_MONITORING_MATRIX.md","docs/programs/fp18/FP18D_NOTIFICATION_MONITORING_MATRIX.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18D_NOTIFICATION_MONITORING_REPORT.md","docs/programs/fp18/FP18D_NOTIFICATION_MONITORING_REPORT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18E_POLICY_AUTO_STOP_AUDIT.md","docs/programs/fp18/FP18E_POLICY_AUTO_STOP_AUDIT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18E_POLICY_AUTO_STOP_ISSUE_REGISTER.md","docs/programs/fp18/FP18E_POLICY_AUTO_STOP_ISSUE_REGISTER.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
"FP18E_POLICY_AUTO_STOP_REPORT.md","docs/programs/fp18/FP18E_POLICY_AUTO_STOP_REPORT.md",MOVE,programs-fp18,"prefix","Not applicable - narrative document",""
